step   t[s]            hdot[m/s]       h[m]            R[m]            Dt[s]   
  148  2.82933192E+01  1.64613546E-06  3.81154966E-04  2.04342769E-02  2.00000000E-01
  149  2.84933192E+01  1.63246522E-06  3.80825739E-04  2.04431078E-02  2.00000000E-01
  150  2.86933192E+01  1.61900020E-06  3.80499246E-04  2.04518767E-02  2.00000000E-01
  151  2.88933192E+01  1.60573598E-06  3.80175446E-04  2.04605844E-02  2.00000000E-01
  152  2.90933192E+01  1.59266820E-06  3.79854298E-04  2.04692318E-02  2.00000000E-01
  153  2.92933192E+01  1.57979268E-06  3.79535765E-04  2.04778196E-02  2.00000000E-01
  154  2.94933192E+01  1.56710532E-06  3.79219806E-04  2.04863487E-02  2.00000000E-01
  155  2.96933192E+01  1.55460215E-06  3.78906385E-04  2.04948198E-02  2.00000000E-01
  156  2.98933192E+01  1.54227930E-06  3.78595465E-04  2.05032337E-02  2.00000000E-01
  157  3.00933192E+01  1.53013301E-06  3.78287009E-04  2.05115912E-02  2.00000000E-01
  158  3.02933192E+01  1.51815963E-06  3.77980982E-04  2.05198930E-02  2.00000000E-01
  159  3.04933192E+01  1.50635560E-06  3.77677350E-04  2.05281397E-02  2.00000000E-01
  160  3.06933192E+01  1.49471745E-06  3.77376079E-04  2.05363322E-02  2.00000000E-01
  161  3.08933192E+01  1.48324182E-06  3.77077136E-04  2.05444711E-02  2.00000000E-01
  162  3.10933192E+01  1.47192543E-06  3.76780487E-04  2.05525571E-02  2.00000000E-01
  163  3.12933192E+01  1.46076507E-06  3.76486102E-04  2.05605909E-02  2.00000000E-01
  164  3.14933192E+01  1.44975765E-06  3.76193949E-04  2.05685730E-02  2.00000000E-01
  165  3.16933192E+01  1.43890013E-06  3.75903998E-04  2.05765042E-02  2.00000000E-01
  166  3.18933192E+01  1.42818956E-06  3.75616218E-04  2.05843851E-02  2.00000000E-01
  167  3.20933192E+01  1.41762307E-06  3.75330580E-04  2.05922163E-02  2.00000000E-01
  168  3.22933192E+01  1.40719785E-06  3.75047055E-04  2.05999984E-02  2.00000000E-01
  169  3.24933192E+01  1.39691118E-06  3.74765616E-04  2.06077320E-02  2.00000000E-01
  170  3.26933192E+01  1.38676038E-06  3.74486233E-04  2.06154176E-02  2.00000000E-01
  171  3.28933192E+01  1.37674288E-06  3.74208881E-04  2.06230560E-02  2.00000000E-01
  172  3.30933192E+01  1.36685613E-06  3.73933533E-04  2.06306475E-02  2.00000000E-01
  173  3.32933192E+01  1.35709767E-06  3.73660162E-04  2.06381929E-02  2.00000000E-01
  174  3.34933192E+01  1.34746510E-06  3.73388742E-04  2.06456926E-02  2.00000000E-01
  175  3.36933192E+01  1.33795606E-06  3.73119249E-04  2.06531471E-02  2.00000000E-01
  176  3.38933192E+01  1.32856826E-06  3.72851658E-04  2.06605570E-02  2.00000000E-01
  177  3.40933192E+01  1.31929948E-06  3.72585944E-04  2.06679229E-02  2.00000000E-01
  178  3.42933192E+01  1.31014753E-06  3.72322084E-04  2.06752451E-02  2.00000000E-01
  179  3.44933192E+01  1.30111028E-06  3.72060055E-04  2.06825243E-02  2.00000000E-01
  180  3.46933192E+01  1.29218565E-06  3.71799833E-04  2.06897609E-02  2.00000000E-01
  181  3.48933192E+01  1.28337162E-06  3.71541396E-04  2.06969553E-02  2.00000000E-01
  182  3.50933192E+01  1.27466619E-06  3.71284721E-04  2.07041081E-02  2.00000000E-01
  183  3.52933192E+01  1.26606745E-06  3.71029788E-04  2.07112198E-02  2.00000000E-01
  184  3.54933192E+01  1.25757350E-06  3.70776574E-04  2.07182907E-02  2.00000000E-01
  185  3.56933192E+01  1.24918248E-06  3.70525060E-04  2.07253213E-02  2.00000000E-01
  186  3.58933192E+01  1.24089261E-06  3.70275223E-04  2.07323122E-02  2.00000000E-01
  187  3.60933192E+01  1.23270211E-06  3.70027045E-04  2.07392636E-02  2.00000000E-01
  188  3.62933192E+01  1.22460927E-06  3.69780504E-04  2.07461761E-02  2.00000000E-01
  189  3.64933192E+01  1.21661240E-06  3.69535582E-04  2.07530501E-02  2.00000000E-01
  190  3.66933192E+01  1.20870985E-06  3.69292260E-04  2.07598859E-02  2.00000000E-01
  191  3.68933192E+01  1.20090003E-06  3.69050518E-04  2.07666841E-02  2.00000000E-01
  192  3.70933192E+01  1.19318134E-06  3.68810338E-04  2.07734449E-02  2.00000000E-01
  193  3.72933192E+01  1.18555227E-06  3.68571702E-04  2.07801688E-02  2.00000000E-01
  194  3.74933192E+01  1.17801130E-06  3.68334591E-04  2.07868562E-02  2.00000000E-01
  195  3.76933192E+01  1.17055696E-06  3.68098989E-04  2.07935075E-02  2.00000000E-01
  196  3.78933192E+01  1.16318782E-06  3.67864878E-04  2.08001230E-02  2.00000000E-01
  197  3.80933192E+01  1.15590247E-06  3.67632240E-04  2.08067031E-02  2.00000000E-01
  198  3.82933192E+01  1.14869953E-06  3.67401060E-04  2.08132482E-02  2.00000000E-01
  199  3.84933192E+01  1.14157764E-06  3.67171320E-04  2.08197586E-02  2.00000000E-01
  200  3.86933192E+01  1.13453551E-06  3.66943004E-04  2.08262348E-02  2.00000000E-01
  201  3.88933192E+01  1.12757182E-06  3.66716097E-04  2.08326769E-02  2.00000000E-01
  202  3.90933192E+01  1.12068533E-06  3.66490583E-04  2.08390855E-02  2.00000000E-01
  203  3.92933192E+01  1.11387479E-06  3.66266446E-04  2.08454608E-02  2.00000000E-01
  204  3.94933192E+01  1.10713900E-06  3.66043671E-04  2.08518031E-02  2.00000000E-01
  205  3.96933192E+01  1.10047676E-06  3.65822243E-04  2.08581128E-02  2.00000000E-01
  206  3.98933192E+01  1.09388691E-06  3.65602148E-04  2.08643902E-02  2.00000000E-01
  207  4.00933192E+01  1.08736833E-06  3.65383370E-04  2.08706357E-02  2.00000000E-01
  208  4.02933192E+01  1.08091989E-06  3.65165896E-04  2.08768495E-02  2.00000000E-01
  209  4.04933192E+01  1.07454051E-06  3.64949712E-04  2.08830319E-02  2.00000000E-01
  210  4.06933192E+01  1.06822911E-06  3.64734804E-04  2.08891834E-02  2.00000000E-01
  211  4.08933192E+01  1.06198465E-06  3.64521159E-04  2.08953040E-02  2.00000000E-01
  212  4.10933192E+01  1.05580611E-06  3.64308762E-04  2.09013943E-02  2.00000000E-01
  213  4.12933192E+01  1.04969247E-06  3.64097600E-04  2.09074544E-02  2.00000000E-01
  214  4.14933192E+01  1.04364275E-06  3.63887662E-04  2.09134846E-02  2.00000000E-01
  215  4.16933192E+01  1.03765599E-06  3.63678933E-04  2.09194852E-02  2.00000000E-01
  216  4.18933192E+01  1.03173124E-06  3.63471402E-04  2.09254566E-02  2.00000000E-01
  217  4.20933192E+01  1.02586757E-06  3.63265056E-04  2.09313989E-02  2.00000000E-01
  218  4.22933192E+01  1.02006407E-06  3.63059882E-04  2.09373125E-02  2.00000000E-01
  219  4.24933192E+01  1.01431985E-06  3.62855870E-04  2.09431976E-02  2.00000000E-01
  220  4.26933192E+01  1.00863403E-06  3.62653006E-04  2.09490544E-02  2.00000000E-01
  221  4.28933192E+01  1.00300576E-06  3.62451279E-04  2.09548834E-02  2.00000000E-01
  222  4.30933192E+01  9.97434190E-07  3.62250678E-04  2.09606846E-02  2.00000000E-01
  223  4.32933192E+01  9.91918501E-07  3.62051191E-04  2.09664583E-02  2.00000000E-01
  224  4.34933192E+01  9.86457881E-07  3.61852807E-04  2.09722049E-02  2.00000000E-01
  225  4.36933192E+01  9.81051536E-07  3.61655516E-04  2.09779246E-02  2.00000000E-01
  226  4.38933192E+01  9.75698685E-07  3.61459305E-04  2.09836175E-02  2.00000000E-01
  227  4.40933192E+01  9.70398565E-07  3.61264166E-04  2.09892840E-02  2.00000000E-01
  228  4.42933192E+01  9.65150424E-07  3.61070086E-04  2.09949242E-02  2.00000000E-01
  229  4.44933192E+01  9.59953526E-07  3.60877056E-04  2.10005385E-02  2.00000000E-01
  230  4.46933192E+01  9.54807149E-07  3.60685065E-04  2.10061270E-02  2.00000000E-01
  231  4.48933192E+01  9.49710582E-07  3.60494104E-04  2.10116899E-02  2.00000000E-01
  232  4.50933192E+01  9.44663129E-07  3.60304161E-04  2.10172276E-02  2.00000000E-01
  233  4.52933192E+01  9.39664106E-07  3.60115229E-04  2.10227401E-02  2.00000000E-01
  234  4.54933192E+01  9.34712842E-07  3.59927296E-04  2.10282278E-02  2.00000000E-01
  235  4.56933192E+01  9.29808678E-07  3.59740353E-04  2.10336909E-02  2.00000000E-01
  236  4.58933192E+01  9.24950967E-07  3.59554392E-04  2.10391295E-02  2.00000000E-01
  237  4.60933192E+01  9.20139072E-07  3.59369402E-04  2.10445439E-02  2.00000000E-01
  238  4.62933192E+01  9.15372370E-07  3.59185374E-04  2.10499343E-02  2.00000000E-01
  239  4.64933192E+01  9.10650247E-07  3.59002299E-04  2.10553008E-02  2.00000000E-01
  240  4.66933192E+01  9.05972101E-07  3.58820169E-04  2.10606438E-02  2.00000000E-01
  241  4.68933192E+01  9.01337341E-07  3.58638975E-04  2.10659633E-02  2.00000000E-01
  242  4.70933192E+01  8.96745385E-07  3.58458707E-04  2.10712596E-02  2.00000000E-01
  243  4.72933192E+01  8.92195662E-07  3.58279358E-04  2.10765330E-02  2.00000000E-01
  244  4.74933192E+01  8.87687612E-07  3.58100919E-04  2.10817835E-02  2.00000000E-01
  245  4.76933192E+01  8.83220682E-07  3.57923382E-04  2.10870113E-02  2.00000000E-01
